ProductCategory,StoreLocation,UnitPrice,QuantitySold,TotalSale,PaymentMethod,CustomerAge
Electronics,Alexandria,1928.17,2,3856.34,Mobile Payment,41
Toys,Mansoura,3932.35,7,27526.45,Mobile Payment,52
Clothing,Cairo,4850.1,1,4850.1,Credit Card,24
Toys,Giza,2019.5,10,20195.0,Credit Card,21
Groceries,Giza,1833.52,9,16501.68,Mobile Payment,40
Furniture,Giza,1185.31,5,5926.55,Bank Transfer,58
Toys,Mansoura,2004.02,3,6012.06,Bank Transfer,42
Electronics,Giza,4343.47,10,43434.7,Credit Card,54
Electronics,Cairo,365.77,8,2926.16,Cash,19
Groceries,Mansoura,4585.01,1,4585.01,Credit Card,48
Electronics,Asyut,2377.23,4,9508.92,Mobile Payment,70
Electronics,Giza,447.1,3,1341.3,Cash,35
Furniture,Alexandria,2466.97,10,24669.7,Cash,56
Furniture,Mansoura,3582.7,9,32244.3,Cash,18
Toys,Giza,4068.87,5,20344.35,Bank Transfer,70
Clothing,Cairo,1766.56,6,10599.36,Mobile Payment,58
Furniture,Cairo,2305.14,8,18441.12,Bank Transfer,32
Electronics,Cairo,1948.82,2,3897.64,Bank Transfer,43
Toys,Giza,1166.63,6,6999.78,Bank Transfer,60
Clothing,Alexandria,3220.87,6,19325.22,Bank Transfer,58
Groceries,Giza,2333.67,7,16335.69,Mobile Payment,57
Clothing,Mansoura,2679.72,7,18758.04,Bank Transfer,30
Toys,Giza,4232.03,7,29624.21,Bank Transfer,70
Electronics,Mansoura,3088.44,9,27795.96,Cash,48
Toys,Cairo,2058.15,2,4116.3,Mobile Payment,53
Clothing,Giza,2286.94,5,11434.7,Credit Card,51
Clothing,Asyut,3145.36,3,9436.08,Bank Transfer,65
Clothing,Asyut,1327.36,6,7964.16,Bank Transfer,29
Toys,Giza,2765.3,3,8295.9,Credit Card,55
Clothing,Asyut,4692.32,9,42230.88,Credit Card,43
Groceries,Giza,3675.39,5,18376.95,Credit Card,22
Toys,Cairo,564.45,10,5644.5,Credit Card,23
Electronics,Alexandria,3652.47,5,18262.35,Cash,31
Clothing,Cairo,1035.94,2,2071.88,Credit Card,48
Groceries,Asyut,3161.75,4,12647.0,Cash,29
Clothing,Cairo,2237.21,6,13423.26,Bank Transfer,34
Toys,Giza,3388.74,7,23721.18,Cash,28
Furniture,Alexandria,2536.51,10,25365.1,Bank Transfer,63
Clothing,Alexandria,377.37,8,3018.96,Bank Transfer,62
Clothing,Alexandria,4189.86,6,25139.16,Credit Card,67
Furniture,Cairo,935.45,10,9354.5,Credit Card,47
Toys,Asyut,3947.17,3,11841.51,Bank Transfer,65
Groceries,Asyut,2331.83,10,23318.3,Bank Transfer,33
Electronics,Giza,4510.32,1,4510.32,Cash,63
Groceries,Giza,377.75,3,1133.25,Mobile Payment,19
Clothing,Cairo,635.13,8,5081.04,Cash,65
Toys,Asyut,4985.54,9,44869.86,Credit Card,33
Electronics,Cairo,4874.26,4,19497.04,Bank Transfer,67
Furniture,Alexandria,771.93,3,2315.79,Bank Transfer,69
Toys,Cairo,961.47,3,2884.41,Cash,66
Furniture,Cairo,4395.01,4,17580.04,Bank Transfer,65
Furniture,Mansoura,3776.56,10,37765.6,Cash,32
Electronics,Giza,2812.2,7,19685.4,Mobile Payment,68
Furniture,Alexandria,704.34,2,1408.68,Bank Transfer,54
Electronics,Giza,3240.65,9,29165.85,Cash,26
