ProductCategory,StoreLocation,UnitPrice,QuantitySold,TotalSale,PaymentMethod,CustomerAge
Groceries,Giza,2377.23,4.0,9508.92,Mobile Payment,70.0
Clothing,Giza,2748.498307692308,3.0,9436.08,Bank Transfer,42.52554744525548
Groceries,Alexandria,191.43,6.0,1148.58,Mobile Payment,48.0
Toys,Giza,2846.47,6.0,17078.82,Cash,31.0
Groceries,Alexandria,2748.498307692308,5.7835820895522385,28965.04,Bank Transfer,42.52554744525548
Groceries,Giza,2748.498307692308,10.0,8791.7,Mobile Payment,42.52554744525548
Groceries,Mansoura,2679.72,7.0,18758.04,Bank Transfer,42.52554744525548
Electronics,Cairo,1948.82,5.7835820895522385,3897.64,Bank Transfer,43.0
Clothing,Mansoura,4883.71,9.0,43953.39,Bank Transfer,38.0
Furniture,Giza,4106.12,9.0,36955.08,Mobile Payment,47.0
Clothing,Asyut,4692.32,9.0,42230.88,Bank Transfer,43.0
Furniture,Asyut,3099.17,5.7835820895522385,3099.17,Credit Card,30.0
Toys,Alexandria,4897.9,5.0,24489.5,Mobile Payment,38.0
Electronics,Asyut,4365.78,6.0,26194.68,Bank Transfer,20.0
Groceries,Asyut,4000.59,5.0,20002.95,Cash,39.0
Toys,Giza,4068.87,5.0,20344.35,Bank Transfer,70.0
Furniture,Mansoura,4701.29,1.0,4701.29,Mobile Payment,43.0
Furniture,Mansoura,2652.82,10.0,26528.2,Bank Transfer,21.0
Furniture,Asyut,4484.85,8.0,35878.8,Bank Transfer,65.0
Furniture,Alexandria,4899.97,9.0,44099.73,Cash,38.0
